Картошка, капуста, яблоки, помидоры, рис, лимоны, укроп, петрушка, лаваш, плавленый сыр, молоко, молоко топлёное	Еда	2013-06-05	504,76	5
Лаваш, молоко, молоко топлёное, кефир, сметана	Еда	2013-06-06	179,90	
Масло сливочное	Еда,масло	2013-06-06	47,40	
Огурцы, помидоры, молоко, лаваш	Еда	2013-06-07	185,80	
Молоко	Еда,молоко	2013-06-09	34,80	
Малина протёртая, пшено, хлеб, джем, молоко, молоко топлёное	Еда	2013-06-10	194,81	
Молоко, сметана, масло, лимоны	Еда	2013-06-12	143,34	
Молоко	Еда,молоко	2013-06-13	26,90	
Молоко	Еда,молоко	2013-06-14	26,90	
Сыр	Еда,сыр	2013-06-15	181,81	
Батарейки пальчиковые 2 шт.	Хозтовары	2013-06-15	49,98	
Бадьян	Еда	2013-06-16	120,00	
Молоко деревенское	Еда,молоко	2013-06-16	60,00	
Масло, сыр и творог деревенские	Еда,молочные продукты	2013-06-16	210,00	
Кабачки и помидоры	Еда,овощи	2013-06-16	120,00	
Огурцы	Еда,овощи,огурцы	2013-06-16	50,00	
Изюм, миндаль и урюк	Еда,сухофрукты	2013-06-16	1415,00	35
Прокладки	Хозтовары	2013-06-18	130,90	
Перчатки резиновые	Хозтовары	2013-06-19	61,20	
Шампунь	Хозтовары	2013-06-22	250,00	
Ленты цветные в волосы	Украшения	2013-06-23	25,00	
Браслеты	Украшения	2013-06-25	600,00	
Подвеска и серьги	Украшения	2013-06-29	2000,00	
Китекат с курицей	Кот	2013-07-05	58,50	
Корм коту	Кот	2013-07-14	100,00	
Корм коту	Кот	2013-07-16	120,00	
Инне за тренировки	Фитнесс	2013-07-16	8800,00	
Инне за витамины	Фитнесс	2013-07-16	1800,00	
За интернет	Квартплата	2013-07-19	500,00	
За газ	Квартплата	2013-07-19	103,44	
За квартиру	Квартплата	2013-07-19	3940,68	
На карточку Альфабанка	Кредит	2013-07-19	1100,00	
На карточку Татфондбанка	Кредит	2013-07-19	1100,00	
На телефон себе	Телефон	2013-07-19	100,00	
На телефон Инге	Телефон	2013-07-19	100,00	
За комнату	Квартплата	2013-07-23	4000,00	
Поели в кафе Amsterdam	Кафе	2013-07-25	689,03	
Мойва коту	Кот	2013-07-29	50,00	
Чайтанья-Чаритамрита	Книги	2013-08-04	300,00	
Серьги	Украшения	2013-08-04	300,00	
Корм коту	Кот	2013-08-13	130,00	
Плавленый сыр коту	Кот	2013-08-13	29,00	
Сладкий попкорн	кино	2013-08-15	220,00	41
Вода в бутылках на кино	кино	2013-08-15	24,38	41
На карточку Альфабанка	Кредит	2013-08-15	4000,00	
Серьги	Украшения	2013-08-15	139,00	
На карточку Татфондбанка	Кредит	2013-08-16	1200,00	
Инне за тренировки	Фитнесс	2013-08-16	4500,00	
Заплатил за интернет	Квартплата	2013-08-17	560,00	
На карточку Альфабанка	Кредит	2013-08-31	8500,00	
Ожерелье	Украшения	2013-08-31	1600,00	
Корм коту	Кот	2013-09-02	172,99	
Корм коту	Кот	2013-09-02	228,00	
Бусы и два крабика	Украшения	2013-09-03	1240,00	
На карточку Татфондбанка	Кредит	2013-09-14	1500,00	
Самаведа, Рамаяна, Махабхарата 2 и Ману-Самхита	Книги	2013-09-23	1500,00	
Гаруда-пурана и «В поисках исторического Иисуса»	Книги	2013-09-23	450,00	
Чайтанья Чаритамрита - Ади лила 1 том	Книги	2013-09-24	400,00	
Учение Господа Капилы	Книги	2013-09-24	250,00	
За интернет	Квартплата	2013-10-02	570,00	
Отвезли диван родителям	Подарки	2013-10-05	1050,00	
На карточку Татфондбанка	Кредит	2013-10-16	2000,00	
На карточку Альфабанка	Кредит	2013-10-16	5000,00	
За интернет	Квартплата	2013-11-01	554,00	
Еда в Метро	Еда	2012-11-01	1352,15	12
Овощи, фрукты, хлеб и молочное	Еда	2013-01-01	457,51	
Овощи, фрукты, хлеб и семечки	Еда	2013-01-01	525,40	
Мандарины	Еда,фрукты	2013-01-02	54,71	
Мандарины	Еда,фрукты	2013-01-03	63,00	
Мороженое, рис, макароны, молоко, хлеб, морковь, гранат, чипсы, и печеньки	Еда	2013-01-04	473,13	
Семечки	Еда,семечки	2013-01-05	53,00	
Семечки, фрукты, хлеб, молоко и сладости	Еда	2013-01-08	452,15	
